Component Name,Provider,Quantity,Price,Link
ELEGOO ESP32 Development Board + Terminal Adapter,Amazon.fr (ELEGOO),2,$19.50,https://www.amazon.fr/ELEGOO-D%C3%A9veloppement-Adaptateur-Terminal-Ensembles/dp/B0D8T5P8JM
PCB,JLCPCB,5,$6.60,-
SG90 180° Servo Motor,AliExpress,4,$6.17,https://fr.aliexpress.com/item/1005010199020431.html
DHT11 Temperature & Humidity Sensor,AliExpress,1,$0.84,https://fr.aliexpress.com/item/1005008659347359.html
PIR Motion Sensor,AliExpress,1,$1.07,https://fr.aliexpress.com/item/1005010179334039.html
TOTAL,,,$ 34.18,-
